회사명,공고제목,직무분야,근무지,경력/고용형태,학력,마감일,등록일,공고URL
에이치알제이(HRJ),[AI 전문회사/ 서울시 강남구] AI 프로젝트 매니저,"데이터분석가, 앱개발, 데이터라벨링, 데이터마이닝, 데이터시각화",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776389
(주)헬로서치,유명게임사 C# 프로그래머 모집,"WCF, .NET, C#, C++, WPF",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776388
(주)코리아인,[수정구/대기업] 사무보조 및 팀 지원 모집 (자체직),"SAP, 더존, 계산서발행, 자금관리, 전표입력",서울전체 외,경력무관 · 계약직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776386
에이치알제이(HRJ),미국계 반도체 장비회사 PCB SI-PI Simulation 엔지니어 모집,"Verilog, 기술엔지니어, 회로설계, 반도체설계, FPCB",서울 서초구,경력 5년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776378
에이치알제이(HRJ),미국계 반도체 장비회사 Product Support Engineer 모집,"기술지원, FAE, SE(시스템엔지니어), 솔루션, 임베디드",서울 서초구,1 ~ 9년 · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776374
(주)헬로서치,업계 1위 대기업 전사 IT 개발자(서버) 과장/차장급 모집,"백엔드/서버개발, IoT, API, DevOps, AWS",서울 강남구,경력 5년↑ · 정규직,학력무관,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776370
(주)헬로서치,유명 1군 게임사 AI센터 인프라 구축 및 시스템 운영 담당 모집,"인프라, 클라우드, DevOps, AWS, Azure",서울 강남구,경력 4년↑ · 정규직,학력무관,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776354
(주)맨토스파워,[글로벌 마케팅 리서치기업] Data Analyst 경력직 채용,"데이터분석가, 빅데이터, 데이터분석, Python, R",서울 마포구,경력 5년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776338
(주)헬로서치,코스피 상장 대기업 VR자회사 Technical Artist 모집,"AR(증강현실), C++, Unreal",서울 강남구,경력 4년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776324
(주)헬로서치,코스피 상장 대기업 VR자회사 디자인부문 전분야 모집,"AR(증강현실), 그래픽디자인, 모션그래픽, 인포그래픽, VFX",서울 강남구,경력 2년↑ · 정규직,대학교(4년)↑,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776294
엠이케이솔루션즈,롤투롤 필름 비전검사 영업/개발/서비스 (이물검사),"이미지프로세싱, 컴퓨터비전, B2B, 광학설계, 광학/렌즈",인천 부평구,경력 10년↑ · 정규직,대학교(4년)↑,~03.16(일),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776280
(주)헬로서치,I군 게임사 AI센터 PMO 모집,"IT컨설팅, SAP, ABAP, 시스템설계, PM(프로젝트매니저)",서울 강남구,경력 5년↑ · 정규직,대학교(4년)↑,~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776278
(주)모스트피플,[SK브로드밴드/방송국] SK여주위성센터 관제/송출/미디어,"기술지원, 정보보안, 네트워크, 통/번역, 영어",경기 여주시,경력무관 · 정규직 외,학력무관,~02.14(금),2시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776415
