회사명,공고제목,직무분야,근무지,경력/고용형태,학력,마감일,등록일,공고URL
커리어위즈,펌웨어 개발/열화상 기술 전문 방산 기업,"알고리즘, 영상처리, 펌웨어, 알고리즘개발, FPGA",서울 금천구,3 ~ 10년 · 정규직,"대학(2,3년)↑",채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806425
(주)라닉스,FPGA/ASIC 개발/기능 검증,"FPGA, S/W, ASIC, 반도체, MCU",서울전체 외,1 ~ 10년 · 정규직,대학교(4년)↑,~02.22(토),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806396
(주)디에스앤지,시스템 엔지니어 경력 채용,"웹개발, SE(시스템엔지니어), 인프라, 클라우드, DevOps",서울전체 외,7 ~ 15년 · 정규직,대학교(4년)↑,~02.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806388
(주)디에스앤지,"AI 인프라, AI Ops 환경 구성","데이터분석가, SE(시스템엔지니어), 딥러닝, 머신러닝, 블록체인",서울전체 외,6 ~ 20년 · 정규직,대학교(4년)↑,~02.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806386
(주)디에스앤지,네트워크 엔지니어,"기술지원, SE(시스템엔지니어), 네트워크, 방화벽, 인프라",서울전체 외,3 ~ 15년 · 정규직,대학교(4년)↑,~02.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806384
아이에스테크놀로지(주),"원격 모니터링 시스템 프론트, 백엔드 개발자 모집","백엔드/서버개발, 웹개발, 프론트엔드, 머신러닝, 빅데이터",인천 연수구,5 ~ 20년 · 정규직,대학교(4년)↑,~02.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806348
(주)소프트인,[경력] 프론트엔드 개발자 채용,"프론트엔드, 솔루션, CSS, Docker, HTML5",서울 영등포구,경력 3년↑ · 정규직,대학교(4년)↑,~02.19(수),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806304
로이컨설팅(주),[메이저그룹계열 인하우스컨설팅펌]- 컨설팅 사업 총괄,"IT컨설팅, 네트워크, 솔루션, C++",서울 강남구,경력 15년↑ · 정규직,대학교(4년)↑,~01.31(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806303
퍼솔켈리코리아(유),[글로벌 중장비 제조기업/판교] CRM Intern 채용(3개월),"데이터라벨링, 데이터마이닝, 빅데이터, SAP, 사무직",경기 성남시 분당구,신입 · 경력 · 계약직 외,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806299
로이컨설팅(주),[SAP분야 리딩 글로벌 컨설팅펌] SAP 컨설턴트 [전모듈],"SAP, IT컨설팅, ERP, C++",서울 강남구,경력 4년↑ · 정규직,대학교(4년)↑,~01.31(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806295
유닉솔루션(주),유닉솔루션(주) 네트워크/보안 시스템 운영,"정보보안, 네트워크, 인프라, 방화벽, VPN",서울 강남구 외,경력 3년↑ · 정규직 외,"대학(2,3년)↑",~03.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806289
(주)온고테크,Oracle HW 유지보수 상주 엔지니어(의왕) 채용(신입가능),"유지보수, SE(시스템엔지니어)",서울 성동구,경력무관 · 정규직,대학교(4년)↑,상시채용,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806277
이에스이(주),[경력직] 공공기관 시스템 개발 및 유지보수 (SI / SM),"백엔드/서버개발, 웹개발, 프론트엔드, Ajax, HTML",경기 성남시 분당구 외,3 ~ 10년 · 정규직,"대학(2,3년)↑",~02.28(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806265
(주)사람인에이치에스,"[가산/인센티브] 스마트팩토리 자동화 영업부(SI,로봇 영업우대)","SI개발, 기술영업, 영업관리, 영업지원, 영업직",서울전체 외,3 ~ 15년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806225
(주)에어키,에어키 솔루션개발센터 센터장(솔루션 개발 BD겸임) 경력 채용,"웹개발, 솔루션, 사업기획, 전략기획, 사업개발",서울전체 외,경력 15년↑ · 정규직,대학교(4년)↑,~03.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806200
㈜에스엠투네트웍스,[삼화페인트계열사] 에스엠투네트웍스 정보보안 관리자 채용,"보안컨설팅, 정보보안, SE(시스템엔지니어), 네트워크, 보안관제",경기 안양시 동안구,경력 5년↑ · 정규직,"대학(2,3년)↑",~02.28(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806191
알서포트(주),[코스닥 상장사] 주니어 웹 백엔드 경력 개발자 채용,"백엔드/서버개발, ERP, RDBMS, Java, JPA",서울전체 외,경력 2년↑ · 정규직,학력무관,~02.03(월),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806180
(주)케이엘피,유니티(Unity) 프론트엔드 개발자 모십니다,"게임개발, 앱개발, 프론트엔드, API, Android",서울 강남구,경력무관 · 정규직 외,고졸↑,D-5,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806142
(주)케이엘피,파이썬(Python) 기반의 풀스택 개발자 모십니다.,"백엔드/서버개발, 유지보수, 프론트엔드, Bootstrap, Django",서울 강남구,경력무관 · 정규직 외,고졸↑,D-5,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806134
굿에이치알,[구로] 본사필드 시스템엔지니어,"SE(시스템엔지니어), Windows, Linux, 시스템엔지니어",서울 구로구,경력 4년↑ · 정규직,"대학(2,3년)↑",채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806130
메가스터디교육(주),서비스 플랫폼 개발자 경력직 채용,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 프론트엔드",서울 서초구,경력 4년↑ · 정규직,학력무관,~02.02(일),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806118
(주)이루인포,이루인포 IT 솔루션 및 서버 스토리지 영업 담당자 채용,"VMware, 기술영업, 솔루션기술영업, IT영업, 솔루션",서울 강남구,경력무관 · 정규직,"대학(2,3년)↑",~02.02(일),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806104
(주)다솜메디케어,병의원 솔루션 프로그램 유지보수 인바운드 신규채용,"유지보수, 인바운드, CS, 고객관리, 교육상담",서울 금천구,경력무관 · 정규직,"대학(2,3년)↑",~02.19(수),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806069
(주)아울시스템즈,보안 S/W개발 (C / C++) 신입 및 경력직 채용 공고,"백엔드/서버개발, 정보보안, 네트워크, 솔루션, Windows",서울 영등포구,신입 · 경력 · 정규직,고졸↑,~03.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806042
(주)원에프엔씨,"여성의류 쇼핑몰 웹디자이너 채용[안나앤모드,안나앤플러스]","CSS, HTML, Javascript, 사이트관리, 웹디자인",서울 동대문구,경력(년수무관) · 계약직,학력무관,~02.19(수),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806038
(주)현대바이오랜드,현대바이오랜드 IT 담당자 채용,"백엔드/서버개발, 보안컨설팅, 유지보수, 정보보안, SE(시스템엔지니어)",서울전체 외,5 ~ 10년 · 정규직,대학교(4년)↑,~02.02(일),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806033
(주)올라핀테크,[경력] 백엔드 개발자 채용,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, AWS",서울 강남구,3 ~ 7년 · 정규직,학력무관,D-5,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49806024
쓰리핸즈(3Handz),[ React Native App Engineer ] iGaming 개발 글로벌 기업,"앱개발, 클라우드, API, Android, AWS",서울 강남구,5 ~ 12년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805979
주식회사 오더비페이,테이블오더/결제 서비스(C# / .NET ) 개발자 모십니다.,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, API",서울 강남구,5 ~ 10년 · 계약직,학력무관,~02.19(수),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805977
(주)올라핀테크,[신입&경력] 데이터엔지니어링 개발자 채용,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, AWS",서울 강남구,신입 · 경력 · 정규직,학력무관,D-5,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805966
쓰리핸즈(3Handz),[ App 개발자 (Flutter) ] iGaming 개발 글로벌 기업,"게임개발, 앱개발, Android, AWS, Flutter",서울 강남구,6 ~ 13년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805957
쓰리핸즈(3Handz),[ Flutter 개발자 ] iGaming 개발 글로벌 기업,"게임개발, 앱개발, Android, AWS, Flutter",서울 강남구,6 ~ 13년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805941
쓰리핸즈(3Handz),[ Backend Server Engineer ] iGaming 개발 글로벌 기업,"게임개발, 백엔드/서버개발, API, ASP.NET, AWS",서울 강남구,5 ~ 12년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805921
쓰리핸즈(3Handz),[ Java Backend Server Engineer ] iGaming 개발 글로벌 기업,"게임개발, 백엔드/서버개발, API, ASP.NET, AWS",서울 강남구,5 ~ 12년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805905
(주)누리미디어,[개발운영] 프론트엔드 개발자 (경력),"앱개발, 웹개발, 퍼블리셔, 프론트엔드, 머신러닝",서울 마포구,5 ~ 10년 · 정규직,대학교(4년)↑,~03.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805896
쓰리핸즈(3Handz),[ Frontend Developer ] iGaming 개발 글로벌 기업,"게임개발, 프론트엔드, 클라우드, API, CSS3",서울 강남구,5 ~ 12년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805894
쓰리핸즈(3Handz),[ UI/UX 디자이너 ] iGaming 글로벌 개발 스튜디오,"게임개발, 앱개발, UI/UX디자인, PhotoShop",서울 강남구,4 ~ 10년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805880
(주)오토소프트,전장 제품 기능 검증 및 정기 업데이트 업무 대응 인원 모집,"기술지원, QA/테스터, S/W",경기 용인시 수지구,경력무관 · 정규직,학력무관,~02.28(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805872
쓰리핸즈(3Handz),[ PM (Slot) ] iGaming 개발 글로벌 기업,"게임개발, S/W, PM(프로젝트매니저)",서울 강남구,5 ~ 13년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805865
쓰리핸즈(3Handz),[ PM (Casino Platform) ] iGaming 개발 글로벌 기업,"게임개발, S/W, PM(프로젝트매니저)",서울 강남구,3 ~ 13년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805856
쓰리핸즈(3Handz),[ 게임 그래픽 아트(시니어) ] iGaming 글로벌 기업,"게임개발, 게임디자인, 그래픽디자인, Unity, 드로잉",서울 강남구,6 ~ 13년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805840
(주)파세코,전산 담당자 채용,"백엔드/서버개발, 정보보안, SE(시스템엔지니어), 네트워크, H/W",경기 안산시 단원구,경력 3년↑ · 정규직,"대학(2,3년)↑",~03.21(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805817
쓰리핸즈(3Handz),[ Compliance Manager ] iGaming 개발 글로벌 기업,"게임개발, S/W",서울 강남구,7 ~ 15년 · 정규직,대학교(4년)↑,채용시,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805815
엘에스이엔엠(주),자동창고 시스템 S/W 개발 (LS ELECTRIC 자회사),"C#, MSSQL, OracleDB, 개발PM, S/W",경기 안양시 동안구,경력무관 · 정규직,"대학(2,3년)↑",~02.19(수),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805809
(주)휴로넷,SKONS 지하철품질 개선팀 [경력무관/상여별도],"기술지원, 유지보수, 네트워크, 정보통신, 사무직",서울 강북구 외,경력무관 · 계약직,고졸↑,D-2,8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805805
(주)디무브,[디무브] IT 컨설팅 - Solution Engineer 정규직 채용,"유지보수, IT컨설팅, DevOps, Nginx, RDBMS",서울 서초구,경력무관 · 정규직,"대학(2,3년)↑",~02.28(금),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805772
(주)오케이저축은행,[OK금융그룹] 디지털채널(앱개발) 경력직 채용 공고,"Android, Flutter, iOS, Kotlin, OracleDB",서울 중구,경력 5년↑ · 정규직,대학교(4년)↑,~02.03(월),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805761
(주)자비스,설비 운용 SW개발자 경력직 채용,"SE(시스템엔지니어), 알고리즘, 영상처리, 컴퓨터비전, API",서울전체 외,5 ~ 10년 · 정규직,학력무관,~02.19(수),8시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805759
(주)텍톤스페이스,기술로 세상에 선한 영향력을 줄 수 있는 소프트웨어 엔지니어,"게임개발, 백엔드/서버개발, 프론트엔드",서울 송파구,신입 · 경력 · 정규직,"대학(2,3년)↑",~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805726
(주)에티버스,UPS 영업담당자 모집,"기술영업, 영업관리, 영업지원, 영업직, 네트워크영업",서울 중구,경력 3년↑ · 정규직,"대학(2,3년)↑",~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805723
(주)아이티엔티,㈜아이티엔티 연구소 반도체 검사장비 HW 개발인재 모집(경력),"펌웨어, H/W, PCB, 반도체, 회로설계",경기 성남시 수정구,경력 5년↑ · 정규직,대학교(4년)↑,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805684
주식회사 그레이브릿지,[비블록] 가상자산 거래소 개발팀 프론트엔드 경력자,"웹개발, CSS, HTML, Java, Javascript",서울 강남구,경력 2년↑ · 정규직,학력무관,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805672
한스바이오뷰티,매출 100억 자회사 앱개발 PM  함께 성장할 인재 모집합니다.,"개발PM, 앱개발, 솔루션",서울 성동구,경력 6년↑ · 정규직,대학교(4년)↑,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805667
(주)플루이즈,앱 자율실행 기술 위한 프론트엔드 및 백엔드 개발자(신입/경력),"백엔드/서버개발, 프론트엔드, React, ReactJS, 풀스택",서울 강남구,신입 · 경력 · 정규직 외,대학교(4년)↑,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805617
(주)투네이션,[투네이션]프론트엔드 React 엔지니어(경력)를 모집합니다.,"프론트엔드, Node.js, React, TypeScript, 크롤링",경기 성남시 분당구,3 ~ 5년 · 정규직,학력무관,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805610
대한에프에이시스템(주),"C#, 개발 경력자,  평택 포승지역 모집합니다.","C#, C++",경기 평택시,4 ~ 10년 · 정규직,대학교(4년)↑,~03.21(금),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805606
대한에프에이시스템(주),"C#, 개발 (경력) 서울 모집합니다","웹개발, C#, C++, Java",서울 강남구,2 ~ 15년 · 정규직,대학교(4년)↑,~03.21(금),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805587
주식회사포넌스,서버 및 스토리지 엔지니어 경력직 채용,"유지보수, SE(시스템엔지니어), 정보통신, VMware, Windows",서울 영등포구,경력무관 · 정규직,"대학(2,3년)↑",~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805545
(주)바이온에버,2025년 상반기 R&D연구소 프로토콜(ISO-15118) 개발자 모집,"S/W, C++, Linux, R&D, 네트워크",경기 안양시 동안구,5 ~ 10년 · 정규직,대학교(4년)↑,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805526
인터리젠(주),시스템 엔지니어 신입 및 경력 모집,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발",서울전체 외,신입 · 경력 · 정규직,"대학(2,3년)↑",~02.02(일),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805519
두나무(주),[두나무] QA 인턴(증권플러스 비상장 서비스),QA/테스터,서울 서초구,신입 · 경력 · 인턴직,학력무관,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805495
(주)인코스파트너스,[구로/대기업계열사/자체직 전환]뷰티브랜드 AMD 채용[전환가능],"ERP, SAP, 영업MD, 기획MD, 리테일MD",서울 구로구,1 ~ 3년 · 계약직,학력무관,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805487
(주)디아이티솔루션,"서버, 스토리지, 워크스테이션 기술 영업 및 조립 경력직 모집","솔루션, 기술영업, 솔루션기술영업, 조립, 기술지원",경기 파주시,경력(년수무관) · 정규직,학력무관,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805472
(주)발해에프유테크,AI 기반 시스템 개발 데이터 엔지니어 경력 채용,"데이터엔지니어, 딥러닝, 머신러닝, S/W, AI(인공지능)",서울 강남구,경력 3년↑ · 정규직,대학교(4년)↑,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805469
(주)인코스파트너스,[구로디지털단지/넷마블]IT유지보수 대규모 채용[대기업],"기술지원, 보안컨설팅, 유지보수, 정보보안, IT컨설팅",서울 구로구,경력무관 · 계약직,학력무관,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805461
(주)이엠넷,㈜이엠넷 모션그래퍼/카피라이터 경력직 채용 [본사],"영상처리, PhotoShop, PowerPoint, 영상디자이너, 크리에이터",서울 구로구,2 ~ 7년 · 정규직,대학교(4년)↑,~02.03(월),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805432
(주)코바다,시스템엔지니어(기술지원)  경력 직원 모집,"네트워크, 정보통신, IoT, S/W, VoIP",서울 성동구,경력무관 · 정규직 외,"대학(2,3년)↑",~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805422
(주)발해에프유테크,AI 기반 시스템 개발 백엔드 경력 채용,"데이터엔지니어, 딥러닝, 머신러닝, S/W, AI(인공지능)",서울 강남구,경력 5년↑ · 정규직,대학교(4년)↑,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805405
(주)서울경제신문,[서울경제신문] 웹사이트 서비스 운영자를 모집합니다.,"웹개발, RDBMS, Java, Javascript, jQuery",서울 종로구,경력 10년↓ · 정규직,학력무관,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805380
(주)핀커스코리아,[완제 의약품 제조업/중견/상장기업] 정보기획팀장(MES/DI),"정보통신, 생산관리, 자동화설계, 품질관리, 제조",서울 강남구,경력 11년↑ · 정규직,대학교(4년)↑,~01.31(금),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805373
(주)휴먼트리월드와이드,[코스닥 상장사 AI연구소 근무 개발자 채용],"챗봇, AI(인공지능), Python, Pytorch, Tensorflow",서울 용산구,경력무관 · 정규직,학력무관,~02.02(일),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805292
(주)미래로시스템,[제품팀]자사 시스템 운영 / 유지보수 엔지니어 채용,"데이터엔지니어, 유지보수, S/W, Windows, Linux",경기 용인시 기흥구,신입 · 경력 · 정규직,"대학(2,3년)↑",채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805291
쓰리핸즈(3Handz),[ 인체조직 품질보증 담당 ] 제약 바이오 기업,"제약QA, 의료기기연구, QA, 헬스케어, 품질보증",서울 송파구,3 ~ 9년 · 정규직,대학교(4년)↑,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805246
쓰리핸즈(3Handz),[ Server Developer (API Server) ] iGaming 개발 글로벌 기업,"백엔드/서버개발, API, .NET, ASP, 클라우드",서울 강남구,5 ~ 10년 · 정규직,대학교(4년)↑,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805217
쓰리핸즈(3Handz),[ 의료기기 품질보증 담당 ] 제약 바이오 기업,"제약QA, 의료기기연구, QA, 헬스케어, 품질보증",서울 송파구,3 ~ 10년 · 정규직,대학교(4년)↑,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805213
라인트론(주),모델링 SW 툴 개발자 모집,"앱개발, 딥러닝, 모델링, 미들웨어, .NET",서울 금천구,3 ~ 5년 · 정규직,대학교(4년)↑,~03.21(금),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805206
(주)발해에프유테크,AI 기반 시스템 개발 프론트엔드 경력 채용,"데이터엔지니어, 딥러닝, 머신러닝, S/W, AI(인공지능)",서울 강남구,경력 3년↑ · 정규직,"대학(2,3년)↑",~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805199
훼브레트랜스포트코리아(유),Sales and Logistics Specialist모집,"데이터엔지니어, 기계판매, 거래처관리, 거래처영업, 고객관리",서울전체 외,신입 · 경력 · 정규직,학력무관,~02.09(일),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805103
(주)타임즈코어,"웹디자인, 웹퍼블리싱  정규직 채용(경력무관)","퍼블리셔, HTML, Javascript, 웹디자인, 일러스트",서울 서초구,경력무관 · 정규직,학력무관,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805100
(주)데이터로드,금융시장의 미래를 설계하는 데이터로드 신입 경력 개발자 모집,"앱개발, 웹개발, DBMS, RDBMS, S/W",서울전체 외,신입 · 경력 · 정규직,대학교(4년)↑,~02.04(화),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805061
(주)넷앤드,[기술본부] 엔지니어 채용 (신입/경력),"보안컨설팅, SE(시스템엔지니어), 유지보수, 정보보안, 네트워크",서울 영등포구,신입 · 경력 · 정규직,학력무관,~02.28(금),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805032
(주)피벗크리에이티브,"기획팀 경력직 (5년이상) 채용 - UX/UI기획, 콘텐츠기획, 기획","QA/테스터, 앱기획, PL(프로젝트리더), 스토리보드, UI/UX",서울 강남구,5 ~ 15년 · 정규직,학력무관,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805029
아마다웰드테크코리아(주),"경력직 채용공고(설계, 기구조립)","C#, MFC, 로봇엔지니어, A/S기사, 기계수리",경기 화성시,경력 · 정규직,"대학(2,3년)↑",~02.07(금),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805017
(주)피벗크리에이티브,"기획팀 1~4년이하 채용 - UX/UI기획, 콘텐츠기획, 기획","QA/테스터, 앱기획, 스토리보드, UI/UX, 프론트엔드",서울 강남구,1 ~ 4년 · 정규직,학력무관,~02.19(수),9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49805006
(주)테네터스,테네터스 -제품 기획자 채용,"게임개발, 앱개발, VR(가상현실), Unity, 헬스케어",서울 강남구,경력 3년↑ · 정규직,학력무관,채용시,9시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804996
(주)메디칼엑셀런스,(주)메디칼엑셀런스 통계팀 신입/경력 채용,"SAS, 통계/분석, 데이터분석, 빅데이터, R",서울 서초구,경력 1년↑ · 정규직,대학교(4년)↑,~01.30(목),10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804979
(주)라온서치,[대기업 디지털 서비스]  PI/ISP 컨설턴트 (7년이상),"SE(시스템엔지니어), 경영혁신(PI), ISP, SAP, 컨설턴트",서울 용산구,경력 7년↑ · 정규직,대학교(4년)↑,D-6,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804934
(주)코럽시스템,CCTV 관제센터 유지보수 정규직 모집,"정보통신, 유지보수",경기 안성시,경력무관 · 정규직,학력무관,채용시,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804923
(주)바인컨설팅,핫 한 코스닥 상장 로봇 기업 휴머노이드 기구 설계(선임 연구원,"FPGA, H/W, 로봇엔지니어, 로봇설계, 구조해석/설계",서울 강남구,신입 · 경력 · 정규직,대학교(4년)↑,D-5,10시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49804920
